epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9667,0.57871,0.85232,0.6026,0.8949,0,0.92257,0.8871,0.96049,0.81143,0.83498,0.79575,0.81072,0.50871,0.62367,4.50423,0.59659,0.94016,0,0.000550749,0.000550749,0.000550749
2,83.0551,0.52836,0.7613,0.33712,0.87131,0,0.98285,0.99162,0.99488,0.86277,0.9798,0.98877,0.99253,0.77993,0.55607,0.83521,0.39479,0.90974,0,0.00109546,0.00109546,0.00109546
3,127.395,0.52204,0.7404,0.3343,0.87037,0,0.99797,1,0.99491,0.85372,0.99797,1,0.99491,0.76156,0.53131,0.92525,0.27755,0.88208,0,0.00162917,0.00162917,0.00162917
4,164.373,0.47775,0.69763,0.30649,0.85688,0,0.98928,0.99305,0.99493,0.86757,0.98928,0.99305,0.99493,0.80387,0.52747,0.80546,0.27012,0.88471,0,0.00161749,0.00161749,0.00161749
5,207.462,0.44167,0.66434,0.27885,0.84652,0,0.99786,1,0.995,0.86206,0.99786,1,0.995,0.80236,0.52627,0.80314,0.25302,0.87967,0,0.00160099,0.00160099,0.00160099
6,245.117,0.41778,0.60174,0.26933,0.83998,0,0.99992,1,0.995,0.88692,0.99992,1,0.995,0.81113,0.46937,0.74673,0.26587,0.8538,0,0.00158448,0.00158448,0.00158448
7,288.394,0.40152,0.57846,0.25765,0.83293,0,0.99995,1,0.995,0.89443,0.99995,1,0.995,0.81559,0.45449,0.75841,0.23246,0.8523,0,0.00156798,0.00156798,0.00156798
8,331.257,0.37548,0.55095,0.24135,0.82966,0,0.99997,1,0.995,0.88163,0.99997,1,0.995,0.80822,0.4755,0.79319,0.22705,0.85946,0,0.00155148,0.00155148,0.00155148
9,368.854,0.36146,0.52758,0.23603,0.82757,0,0.99984,1,0.995,0.88933,0.99984,1,0.995,0.80975,0.47217,0.79396,0.21683,0.85621,0,0.00153497,0.00153497,0.00153497
10,406.081,0.34237,0.49701,0.22531,0.82292,0,0.99855,1,0.995,0.88571,0.99855,1,0.995,0.80269,0.47122,0.81652,0.20973,0.85762,0,0.00151847,0.00151847,0.00151847
11,443.448,0.32749,0.476,0.21709,0.81932,0,0.99997,1,0.995,0.8811,0.99997,1,0.995,0.81418,0.47137,0.81506,0.20302,0.86044,0,0.00150197,0.00150197,0.00150197
12,481.311,0.31242,0.44835,0.20646,0.8162,0,0.99994,1,0.995,0.88935,0.99994,1,0.995,0.80441,0.46919,0.94448,0.20276,0.86218,0,0.00148546,0.00148546,0.00148546
13,518.48,0.29657,0.42978,0.20109,0.81433,0,0.99095,0.99154,0.99499,0.87592,0.99095,0.99154,0.99499,0.80258,0.50771,1.09133,0.23013,0.87569,0,0.00146896,0.00146896,0.00146896
14,555.749,0.28523,0.40574,0.2008,0.81163,0,0.99996,1,0.995,0.89556,0.99996,1,0.995,0.79119,0.45662,1.04576,0.20369,0.85426,0,0.00145246,0.00145246,0.00145246
15,594.018,0.27417,0.38253,0.19199,0.81109,0,0.99993,1,0.995,0.89871,0.99993,1,0.995,0.81478,0.43844,0.93454,0.19064,0.847,0,0.00143595,0.00143595,0.00143595
16,638.066,0.26484,0.37423,0.18631,0.80841,0,0.99725,0.99923,0.995,0.89718,0.99725,0.99923,0.995,0.80078,0.44819,1.13602,0.20031,0.85726,0,0.00141945,0.00141945,0.00141945
17,675.532,0.26403,0.36671,0.18627,0.80939,0,0.99994,1,0.995,0.89072,0.99994,1,0.995,0.79996,0.46317,1.18718,0.19803,0.86018,0,0.00140295,0.00140295,0.00140295
18,712.926,0.2535,0.35678,0.17805,0.80512,0,0.99785,1,0.99499,0.88882,0.99785,1,0.99499,0.81099,0.46001,1.01719,0.1965,0.86146,0,0.00138644,0.00138644,0.00138644
19,750.566,0.24138,0.32879,0.17648,0.80279,0,0.99746,0.99848,0.99499,0.89187,0.99746,0.99848,0.99499,0.80444,0.46536,1.18352,0.19559,0.86642,0,0.00136994,0.00136994,0.00136994
20,788.366,0.23617,0.32,0.17482,0.80227,0,0.99997,1,0.995,0.8871,0.99997,1,0.995,0.79466,0.477,1.18516,0.1965,0.871,0,0.00135344,0.00135344,0.00135344
21,825.576,0.22966,0.30921,0.1696,0.80271,0,0.99957,1,0.995,0.89222,0.99957,1,0.995,0.80675,0.46048,1.23092,0.18962,0.86,0,0.00133693,0.00133693,0.00133693
22,863.837,0.22514,0.29789,0.16891,0.80172,0,0.99991,1,0.995,0.89167,0.99991,1,0.995,0.80317,0.4593,1.28131,0.1918,0.8632,0,0.00132043,0.00132043,0.00132043
23,901.619,0.21957,0.29136,0.16352,0.80074,0,0.99992,1,0.995,0.89432,0.99992,1,0.995,0.80427,0.45179,1.25446,0.18513,0.85941,0,0.00130393,0.00130393,0.00130393
24,939.378,0.21776,0.28815,0.16413,0.80185,0,0.99995,1,0.995,0.89309,0.99995,1,0.995,0.81056,0.45597,1.18044,0.18811,0.86117,0,0.00128742,0.00128742,0.00128742
25,976.795,0.21094,0.27274,0.15775,0.79855,0,0.99996,1,0.995,0.8965,0.99996,1,0.995,0.81162,0.45336,1.26998,0.18616,0.86144,0,0.00127092,0.00127092,0.00127092
26,1015.04,0.20627,0.27802,0.15497,0.79937,0,0.99984,1,0.995,0.89653,0.99984,1,0.995,0.81104,0.44778,1.23656,0.1885,0.85942,0,0.00125442,0.00125442,0.00125442
27,1053.08,0.20137,0.26212,0.15631,0.79653,0,0.99957,1,0.995,0.89119,0.99957,1,0.995,0.79912,0.46553,1.39312,0.18757,0.86882,0,0.00123791,0.00123791,0.00123791
28,1091.01,0.20104,0.26012,0.15715,0.79786,0,0.99482,0.99963,0.99495,0.89142,0.99482,0.99963,0.99495,0.80923,0.46799,1.3312,0.19384,0.86689,0,0.00122141,0.00122141,0.00122141
29,1128.65,0.19528,0.246,0.15117,0.79501,0,0.99997,1,0.995,0.89485,0.99997,1,0.995,0.81289,0.45461,1.26187,0.18886,0.86184,0,0.00120491,0.00120491,0.00120491
30,1166.13,0.18864,0.24282,0.14505,0.79559,0,0.99866,0.99932,0.995,0.89426,0.99866,0.99932,0.995,0.80977,0.45764,1.33035,0.18789,0.8634,0,0.0011884,0.0011884,0.0011884
31,1203.57,0.18799,0.2432,0.14288,0.79449,0,0.99048,0.99871,0.995,0.89283,0.99048,0.99871,0.995,0.80617,0.45414,1.33377,0.1858,0.86219,0,0.0011719,0.0011719,0.0011719
32,1242.29,0.18678,0.23371,0.14323,0.79589,0,0.99907,1,0.995,0.88435,0.99907,1,0.995,0.80354,0.48329,1.27176,0.18773,0.87817,0,0.0011554,0.0011554,0.0011554
33,1280.53,0.18824,0.23681,0.14471,0.79593,0,0.99991,1,0.995,0.89664,0.99991,1,0.995,0.80842,0.44846,1.34437,0.17712,0.86246,0,0.00113889,0.00113889,0.00113889
34,1318.33,0.17724,0.22707,0.14104,0.79698,0,0.9999,1,0.995,0.89294,0.9999,1,0.995,0.81671,0.4582,1.23202,0.18368,0.86177,0,0.00112239,0.00112239,0.00112239
35,1355.84,0.18209,0.22834,0.14555,0.79378,0,0.99938,0.99985,0.995,0.89333,0.99938,0.99985,0.995,0.80438,0.46228,1.38282,0.18308,0.86569,0,0.00110589,0.00110589,0.00110589
36,1393.4,0.17372,0.22211,0.13818,0.79499,0,0.98834,0.99939,0.995,0.89403,0.98834,0.99939,0.995,0.80521,0.45594,1.55133,0.18948,0.86832,0,0.00108938,0.00108938,0.00108938
37,1431.22,0.17343,0.21529,0.13818,0.79479,0,0.95895,0.99105,0.99435,0.89238,0.95895,0.99105,0.99435,0.80698,0.46635,1.5058,0.21037,0.86976,0,0.00107288,0.00107288,0.00107288
38,1468.68,0.17198,0.21577,0.13702,0.79262,0,0.99995,1,0.995,0.89446,0.99995,1,0.995,0.80228,0.461,1.44916,0.18308,0.86534,0,0.00105638,0.00105638,0.00105638
39,1506.05,0.16355,0.20696,0.13119,0.79326,0,0.99995,1,0.995,0.89969,0.99995,1,0.995,0.81168,0.44159,1.39952,0.17347,0.85716,0,0.00103987,0.00103987,0.00103987
40,1543.04,0.16317,0.2043,0.1307,0.7919,0,0.98988,0.99304,0.99497,0.88981,0.98988,0.99304,0.99497,0.8026,0.47183,1.55898,0.19831,0.87761,0,0.00102337,0.00102337,0.00102337
41,1580.53,0.16583,0.20751,0.13235,0.79135,0,0.99979,1,0.995,0.89644,0.99979,1,0.995,0.80094,0.46052,1.45868,0.17853,0.86819,0,0.00100687,0.00100687,0.00100687
42,1618.46,0.15893,0.19682,0.12937,0.79148,0,0.99909,0.99969,0.995,0.8939,0.99909,0.99969,0.995,0.80316,0.46667,1.45321,0.18499,0.86897,0,0.000990365,0.000990365,0.000990365
43,1655.76,0.1608,0.19865,0.13153,0.79196,0,0.99993,1,0.995,0.89524,0.99993,1,0.995,0.80641,0.46702,1.42973,0.17734,0.87109,0,0.000973861,0.000973861,0.000973861
44,1693.3,0.15803,0.19419,0.1293,0.79128,0,0.99989,1,0.995,0.89259,0.99989,1,0.995,0.80913,0.46834,1.47267,0.17954,0.87203,0,0.000957358,0.000957358,0.000957358
45,1730.8,0.15663,0.19612,0.12688,0.79217,0,0.99988,1,0.995,0.89248,0.99988,1,0.995,0.80417,0.46343,1.44428,0.17598,0.86788,0,0.000940855,0.000940855,0.000940855
46,1768.13,0.155,0.19257,0.12637,0.79056,0,0.99993,1,0.995,0.89644,0.99993,1,0.995,0.81291,0.4623,1.41624,0.17618,0.86835,0,0.000924352,0.000924352,0.000924352
